#sigma = 0.3, yield_rate = 0.0015, 20 fixing dates, K = 1, Noz = 1, NBLOCKS = 128, TPB = 512, N_simulations (per thread) = 15k, processo esatto. Di seguito: B, price, error
#al variare di B, osserviamo prezzo e errore MC
#B, prezzo, errore_MC
0,1,0
0.0375,0.970101,1.21458e-06
0.075,0.940245,1.69038e-06
0.125,0.900574,2.13412e-06
0.1875,0.851346,2.53713e-06
0.25,0.80269,2.8382e-06
0.375,0.707799,3.24336e-06
0.5,0.617263,3.46644e-06
0.625,0.532187,3.55844e-06
0.75,0.453486,3.55043e-06
0.875,0.381823,3.46493e-06
1,0.317562,3.32005e-06
1.125,0.260841,3.13157e-06
1.25,0.211541,2.91258e-06
1.375,0.169358,2.67492e-06
1.5,0.133819,2.42806e-06
1.75,0.0802773,1.93787e-06
2,0.0456131,1.48804e-06
2.25,0.024524,1.10308e-06
2.5,0.0124657,7.91284e-07
2.75,0.00598548,5.50095e-07
3,0.0027134,3.70992e-07
3.25,0.00116097,2.42871e-07
3.5,0.000468546,1.54339e-07
3.75,0.000178351,9.52384e-08
4,6.38185e-05,5.69697e-08









