#m = 100
#T = 1, 120x32x5000, rate = 0.0015, B = 1, sigma = 0.15
0.45,1.302083e-08,7.154143e-09,4.687499e-09,1
0.475,8.619792e-08,9.652122e-08,8.490519e-09,1
0.5,9.020833e-07,8.370098e-07,3.346266e-08,1
0.525,6.776563e-06,6.866308e-06,9.247496e-08,1
0.55,3.952292e-05,3.93387e-05,2.430434e-07,1
0.575,0.0002013352,0.0002016915,5.648507e-07,1
0.6,0.0007738943,0.0007728861,1.194706e-06,1
0.625,0.002559246,0.002558781,2.254075e-06,1
0.65,0.006704147,0.006709723,3.80264e-06,1
0.675,0.0150643,0.01506995,5.687316e-06,1
0.7,0.02835597,0.02835953,7.597484e-06,1
0.725,0.04679974,0.04679389,9.083904e-06,1
0.75,0.06870879,0.06870356,1.00267e-05,1
0.775,0.09266891,0.09266535,1.044204e-05,1
0.8,0.1173815,0.1173783,1.058615e-05,1
0.825,0.1423323,0.1423284,1.061614e-05,1
0.85,0.1673234,0.1673213,1.061945e-05,1
0.875,0.1923386,0.1923208,1.062469e-05,1
0.9,0.2173234,0.2173207,1.062279e-05,1
0.925,0.242327,0.2423207,1.062194e-05,1
0.95,0.2672915,0.2673207,1.06242e-05,1
0.5125,2.601823e-06,2.54344e-06,5.574943e-08,1
0.5375,1.721914e-05,1.701413e-05,1.534017e-07,1
0.5625,9.305443e-05,9.315549e-05,3.745828e-07,1
0.5875,0.0004068445,0.000406854,8.332294e-07,1
0.6125,0.001456255,0.001454978,1.663142e-06,1
0.6375,0.004250488,0.004249142,2.972888e-06,1
0.6625,0.01031402,0.01031259,4.721116e-06,1
0.6875,0.02107618,0.02107726,6.664388e-06,1
0.7125,0.03705052,0.03704955,8.403353e-06,1
0.7375,0.05740401,0.05741078,9.623448e-06,1
0.7625,0.08054702,0.08053896,1.028014e-05,1
0.7875,0.1049669,0.1049709,1.053386e-05,1
0.8125,0.1298477,0.129843,1.060725e-05,1
0.8375,0.1548331,0.1548231,1.061753e-05,1
0.8625,0.1798213,0.1798209,1.061972e-05,1
0.8875,0.2048197,0.2048207,1.062426e-05,1
0.9125,0.2298095,0.2298207,1.062231e-05,1
0.9375,0.2548326,0.2548207,1.062095e-05,1
0.9625,0.2798133,0.2798207,1.062152e-05,1
0.9875,0.3048082,0.3048207,1.062211e-05,1
0.975,0.2923263,0.2923207,1.062265e-05,1
1,0.3173112,0.3173207,1.062041e-05,1
