m,exact_result,exact_error,approx_result,approx_erro
10,0.0113645,4.20485e-06,0.0110846,4.14754e-06
15,0.0201325,5.48341e-06,0.0198223,5.44027e-06
20,0.0370229,6.61295e-06,0.0366828,6.58215e-06
25,0.0554683,7.59846e-06,0.0551202,7.57797e-06
30,0.0776187,8.04168e-06,0.0773119,8.03247e-06
35,0.0989564,8.2311e-06,0.0986554,8.22462e-06
40,0.119718,8.06127e-06,0.11948,8.05905e-06
45,0.138383,7.783e-06,0.138176,7.78254e-06
50,0.155183,7.40747e-06,0.155009,7.40798e-06
55,0.170042,7.03732e-06,0.169892,7.03727e-06
60,0.183228,6.67988e-06,0.183084,6.68078e-06
65,0.194995,6.35434e-06,0.19486,6.35649e-06
70,0.205531,6.0629e-06,0.205446,6.06181e-06
75,0.21507,5.79803e-06,0.214978,5.79757e-06
80,0.223737,5.55839e-06,0.223666,5.55882e-06
85,0.231667,5.34047e-06,0.231583,5.34094e-06
90,0.238941,5.1436e-06,0.238863,5.14421e-06
95,0.245666,4.9624e-06,0.245588,4.96315e-06
100,0.251888,4.79664e-06,0.251821,4.79635e-06
105,0.257671,4.64283e-06,0.257609,4.64288e-06
110,0.263068,4.4998e-06,0.263022,4.49957e-06
115,0.268127,4.36692e-06,0.268069,4.36687e-06
