m,p_off_lognorm,MC_err_lognorm,p_off_binom,MC_error_binom
9,0.00331677,0.000182158,0.00334242,0.000182512
12,0.00332202,0.000180995,0.00320473,0.000177136
15,0.0032736,0.000180438,0.00320221,0.000176455
18,0.00320867,0.000179725,0.00323328,0.000179263
21,0.00316284,0.000174685,0.00337348,0.000188292
24,0.00325344,0.000177656,0.00334988,0.000186555
27,0.00321932,0.000176448,0.0033523,0.000184385
30,0.00315755,0.000174206,0.00330851,0.00018781
33,0.0033923,0.000188754,0.00334064,0.00018726
36,0.00338233,0.000186858,0.00322998,0.000180476
39,0.00337302,0.000188518,0.0033648,0.000190174
42,0.00326947,0.000182101,0.00315973,0.000177239
45,0.00336787,0.000186298,0.0032314,0.000180198
48,0.00324347,0.000179021,0.00335251,0.000190622
51,0.0032665,0.000182504,0.00343929,0.000191988
54,0.00338352,0.000189353,0.00329684,0.000181839
57,0.00321859,0.000179124,0.00310704,0.000173067
60,0.00317577,0.000180249,0.00319136,0.000177585
63,0.00309064,0.000171917,0.00352288,0.000199254
66,0.00333167,0.000183249,0.00342248,0.000190929
69,0.00311339,0.000174578,0.00327379,0.000180743
72,0.0032329,0.000177664,0.00314204,0.000175847
75,0.00315557,0.000176344,0.00325705,0.00018083
78,0.00345131,0.000192958,0.00315288,0.000176926
81,0.00335174,0.000187435,0.00332903,0.000185093
84,0.00337677,0.000190209,0.00316466,0.000177301
87,0.00317157,0.000173802,0.00328807,0.000182644
90,0.00315091,0.000174368,0.00326711,0.00018158
93,0.00340818,0.000191934,0.00335117,0.000190193
96,0.00338431,0.000187138,0.00326032,0.000180696
99,0.00325261,0.000180443,0.00346283,0.000192546
102,0.00327674,0.00018267,0.00324282,0.000178456
