m,exact_result,exact_error,approx_result,approx_erro
5,0.123012,1.41155e-05,0.120523,1.39978e-05
10,0.101751,9.43397e-06,0.100505,9.38371e-06
15,0.0908547,7.77857e-06,0.0899694,7.74614e-06
20,0.084311,6.89255e-06,0.0836192,6.86979e-06
25,0.0799953,6.31931e-06,0.079422,6.30186e-06
30,0.0779627,5.81571e-06,0.0774754,5.80136e-06
35,0.076147,5.4505e-06,0.0757223,5.44e-06
40,0.0746088,5.17253e-06,0.0742337,5.16334e-06
45,0.0733076,4.94827e-06,0.0729648,4.94087e-06
50,0.0726152,4.72507e-06,0.0723002,4.7183e-06
55,0.0719195,4.54273e-06,0.0716344,4.53763e-06
60,0.0712767,4.38981e-06,0.0710003,4.3847e-06
65,0.070705,4.25813e-06,0.0704482,4.25329e-06
70,0.0703695,4.12266e-06,0.0701416,4.11889e-06
75,0.0700347,4.00583e-06,0.0698124,4.00245e-06
80,0.0697063,3.90318e-06,0.0694975,3.9005e-06
85,0.0694056,3.81245e-06,0.0692049,3.80888e-06
90,0.0692176,3.7172e-06,0.0690338,3.71458e-06
95,0.0690338,3.63296e-06,0.0688439,3.63054e-06
100,0.0688464,3.55721e-06,0.0686755,3.55499e-06
105,0.0686781,3.48792e-06,0.0685008,3.48599e-06
110,0.0685666,3.41618e-06,0.0684033,3.41426e-06
115,0.0684532,3.35101e-06,0.0683052,3.34926e-06
