m,t_exact,t_approx,g
100,105891,107117,1.01158
120,129645,131571,1.01486
140,149307,151149,1.01234
160,171134,173603,1.01443
180,192131,194106,1.01028
200,212536,215412,1.01353
m,t_exact,t_approx,g
220,235509,238295,1.01183
240,252443,255391,1.01168
245,257883,260820,1.01139
250,262891,266073,1.0121
240,252367,254999,1.01043
245,257566,260114,1.00989
250,262852,265938,1.01174
255,268017,271170,1.01176
260,273114,276451,1.01222
265,278625,281978,1.01203
270,283630,287047,1.01205
275,289733,293030,1.01138
280,294935,298239,1.0112
285,300006,303423,1.01139
290,305676,308546,1.00939
295,310567,314084,1.01132
300,315902,319445,1.01122
