# sigma 60
m,exact_result,exact_error,approx_result,approx_erro
5,0.151131,1.53055e-05,0.114722,1.37149e-05
10,0.116377,9.98163e-06,0.0965932,9.22191e-06
15,0.10095,8.12643e-06,0.0870798,7.63806e-06
20,0.0921444,7.14003e-06,0.081292,6.79168e-06
25,0.0864741,6.50548e-06,0.0774502,6.2419e-06
30,0.0834571,5.96323e-06,0.0757767,5.75282e-06
35,0.0809413,5.57146e-06,0.0742343,5.40081e-06
40,0.0788811,5.27281e-06,0.072872,5.12975e-06
45,0.0771904,5.03273e-06,0.0717464,4.91263e-06
50,0.076123,4.79765e-06,0.0711745,4.6937e-06
55,0.075154,4.60551e-06,0.0705938,4.51563e-06
60,0.0742823,4.44495e-06,0.0700418,4.36647e-06
65,0.0735061,4.30622e-06,0.0695531,4.23755e-06
70,0.0729955,4.16561e-06,0.0692933,4.104e-06
75,0.0724951,4.04398e-06,0.0690171,3.98933e-06
80,0.0720376,3.9383e-06,0.0687474,3.88882e-06
85,0.0716163,3.84289e-06,0.0684787,3.79855e-06
90,0.0713111,3.74507e-06,0.0683503,3.70521e-06
95,0.0710281,3.65816e-06,0.068207,3.62197e-06
100,0.070755,3.58001e-06,0.0680523,3.54723e-06
105,0.0705009,3.50849e-06,0.0679145,3.47885e-06
110,0.0703157,3.43535e-06,0.0678381,3.40812e-06
115,0.0701294,3.36877e-06,0.0677589,3.34371e-06
