#sigma = 0.3, yield_rate = 0.0015, 20 fixing dates, K = 0.5, Noz = 1, NBLOCKS = 128, TPB = 512, N_simulations (per thread) = 15k, processo esatto. Di seguito: B, price, error
#al variare di B, osserviamo prezzo e errore MC
#B, prezzo, errore_MC
0,0.5,0
0.0375,0.470102,1.21457e-06
0.075,0.440247,1.69043e-06
0.125,0.400574,2.13408e-06
0.1875,0.351343,2.53679e-06
0.25,0.30272,2.83459e-06
0.375,0.208771,3.16684e-06
0.5,0.125071,3.04279e-06
0.625,0.0619578,2.42359e-06
0.75,0.0245584,1.58557e-06
0.875,0.00767854,8.69174e-07
1,0.00188985,4.11076e-07
1.125,0.000368121,1.72017e-07
1.25,5.72339e-05,6.46855e-08
1.325,1.67842e-05,3.41404e-08
1.5,7.16248e-07,6.7323e-09
1.75,4.37419e-09,5.08626e-10
2,0,0
2.25,0,0
2.5,0,0
2.75,0,0
3,0,0
3.25,0,0
3.5,0,0
3.75,0,0
4,0,0

