m,cpu_time,gpu_time,g
9,16253,421,38.6057
12,21521,518,41.5463
15,26649,634,42.0331
18,31907,742,43.0013
21,37435,911,41.0922
24,42747,1003,42.6191
27,47794,1112,42.9802
30,53104,1277,41.585
33,58386,1380,42.3087
36,63701,1543,41.2839
39,68955,1702,40.5141
42,74302,1779,41.7662
45,79524,1924,41.3326
48,84903,2023,41.9689
51,90107,2146,41.9884
54,95501,2260,42.2571
57,100685,2418,41.6398
60,106101,2608,40.6829
63,111269,2734,40.6982
66,116713,2808,41.5645
69,121795,2943,41.3846
72,127322,3077,41.3786
75,132410,3226,41.0446
78,137897,3337,41.3236
81,142956,3709,38.543
84,148506,3813,38.9473
87,153547,3950,38.8727
90,159079,4007,39.7003
93,164219,4138,39.6856
96,169707,4255,39.8841
99,174722,4490,38.9136
102,180274,4463,40.393
